mal_id,aired_from,aired_to,duration,episodes,genres,popularity,premiered,rank,rating,score,scored_by,source,status,studios,synopsis,title,title_english,type
36828,2018-04-08,2018-06-24,23 min ,12,"['Action', 'Sci-Fi']",1810,Spring 2018,7747,PG-13 - Teens 13 or older,6.06,18275,Game,Finished Airing,"[{'mal_id': 41, 'name': 'Satelight'}]","What is happiness? Ever the fan of psychology, questions such as this are ones that high school student Ritsu Shikishima likes to ponder as he spends his peaceful days with his friends. His perfect world, however, begins to unravel when he hears a strange voice obscured by static, pleading for help. This voice belongs to μ, a beloved pop idol, whose singing begins to have an adverse effect on the world. Before Ritsu's very eyes, the faces of his friends and family become distorted by glitches as the sound of μ's voice transforms them into Digiheads: berserk monsters bent on the extermination of all those who begin to awaken to the true nature of their existence. Realizing that he is trapped in a virtual world created by μ called Mobius, Ritsu must now gather everyone else who has managed to realize the truth before they are all eliminated. Together, they will use their newfound powers and weapons granted by their emotions—known as the Catharsis Effect—to fight off the mysterious group known as The Ostinato Musicians as they struggle to escape. [Written by MAL Rewrite]",Caligula (TV),Caligula,TV
36838,2018-01-08,2018-03-26,24 min ,12,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",1211,Winter 2018,25,PG-13 - Teens 13 or older,8.8,48509,Manga,Finished Airing,"[{'mal_id': 1258, 'name': 'Bandai Namco Pictures'}]",First Season of the final arc of Gintama.,Gintama.: Shirogane no Tamashii-hen,Gintama.: Silver Soul Arc,TV
36841,2017-11-20,,2 min,1,['Music'],11377,,9341,G - All Ages,5.51,311,Original,Finished Airing,[],Official music video for the song Sousha wa Tada Senaka to Teikin de Kataru Nomi by the fictional band Irodorimidori. It is the 21st song in the franchise and focuses on Nachi Tsukisuzu.,Sousha wa Tada Senaka to Teikin de Kataru Nomi,,Music
36848,2017-12-21,2018-04-05,19 min ,15,"['Harem', 'Comedy', 'Romance', 'School']",3592,,2402,PG-13 - Teens 13 or older,7.28,6898,Web manga,Finished Airing,"[{'mal_id': 1350, 'name': 'B.CMAY PICTURES'}]","Jiang Hao Yi, a normal, high school student who is extremely scared of getting into trouble, suddenly becomes the Harem King of his school when a bunch of beautiful girls confess to him! Unfortunately for Jian Hao, he doesn't know any of the girls who have confessed to him... What on Earth is happening?",Aishen Qiaokeli-ing...II,,ONA
36864,2018-04-06,2018-09-21,3 min ,25,"['Comedy', 'Josei', 'Romance', 'School']",1503,Spring 2018,4216,PG-13 - Teens 13 or older,6.83,32641,Manga,Finished Airing,"[{'mal_id': 96, 'name': 'Yumeta Company'}]","Despite his incredible bashfulness, Atsuhiro ""Akkun"" Kagari has landed the girl of his dreams: the sweet and loveable Non Katagiri. However, his embarrassment for affectionate acts—from giving compliments to exchanging a kiss—causes him to act harsh and downright mean to Katagiri in their day-to-day lives. But Akkun is still very much a boy in love; and he shows his admiration for Katagiri in his own way. From tailing her in order to take her picture to eavesdropping in on her conversations, he ends up stalking his own girlfriend. Luckily enough, Katagiri finds Akkun's actions cute and endearing, and knows he doesn't really mean any of his insults. Even if their close friend, Masago Matsuo, finds their dynamic a little odd, Katagiri loves her sweet tyrant just the way he is. [Written by MAL Rewrite]",Akkun to Kanojo,My Sweet Tyrant,TV
36882,2019-07-08,2019-10-07,23 min ,13,"['Action', 'Adventure', 'Fantasy', 'Harem']",428,Summer 2019,5770,PG-13 - Teens 13 or older,6.49,137917,Light novel,Finished Airing,"[{'mal_id': 163, 'name': 'Asread'}, {'mal_id': 314, 'name': 'White Fox'}]","The ordinary life of 17-year-old otaku Hajime Nagumo is disrupted when he and his classmates are summoned to a fantasy world and tasked with saving mankind. While his classmates are gifted with impressive abilities useful in combat, Hajime is belittled for only gaining an inferior transmutation skill that lacks any real offensive power. During an expedition in the Great Orcus Labyrinth, Hajime is betrayed by one of his classmates, plummeting him to the bottom of an abyss. Though he survives the fall, Hajime is faced with menacing monsters and misfortunes that send him spiraling into a grim nightmare. Desperate to live and return home one day, he resolves to fight for his survival—only to meet an imprisoned vampire he names Yue, who is also seeking to escape the labyrinth. Taking an interest in him, Yue and a few others along the way accompany Hajime on his journey to find a way back home, while steadily transforming from commonplace to the world's strongest. [Written by MAL Rewrite]",Arifureta Shokugyou de Sekai Saikyou,Arifureta: From Commonplace to World's Strongest,TV
36884,2018-04-13,2018-06-29,24 min ,12,"['Comedy', 'Drama', 'Fantasy', 'Military']",1856,Spring 2018,1906,PG-13 - Teens 13 or older,7.4,24108,Original,Finished Airing,"[{'mal_id': 4, 'name': 'Bones'}]","Straightforward and innocent Hisone Amakasu is a Self-Defense Force rookie stationed at the Air Self-Defense Force's Gifu Base. She was struggling with the fact that she sometimes hurts people unintentionally by her innocent words and decided to join the Air Self-Defense Force, hoping to maintain a certain distance from people. This decision led her to a fateful encounter which profoundly changed her life. It was the ""OTF"" dragon hidden in the base and it chose Hisone as his pilot. When it soared into the sky with Hisone, her fate as a dragon pilot was decided. It is said that dragons have a key to the future of the world... (Source: ANN)",Hisone to Maso-tan,Dragon Pilot: Hisone and Masotan,TV
369,2000-01-05,2000-03-22,24 min ,12,"['Psychological', 'Supernatural', 'Dementia', 'Mystery', 'Drama', 'Horror']",1454,Winter 2000,2834,R+ - Mild Nudity,7.17,22778,Light novel,Finished Airing,"[{'mal_id': 11, 'name': 'Madhouse'}]","Five years ago, a string of grisly murders shook the city to its core and now the rumors have begun once more. Boogiepop... Everyone knows about Boogiepop: meet her one dark night and you are taken. People tell each other the stories and laugh: no one believes that she can possibly exist in this day and age. Still, strange things appear to be going on and the darkness is taking on many forms. Something is out there. Are you safe? (Source: RightStuf)",Boogiepop wa Warawanai,Boogiepop Phantom,TV
36902,2018-04-02,2018-06-18,23 min ,12,"['Comedy', 'Fantasy', 'Magic']",1773,Spring 2018,5063,PG-13 - Teens 13 or older,6.65,17861,Web manga,Finished Airing,"[{'mal_id': 1129, 'name': 'Pierrot Plus'}]","Saki Uno is an average 15-year-old girl with a side hustle as a member of the exceptionally unpopular idol duo Magical Twins. Despite this, she absolutely loves the time she spends with her best friend Sakuyo Mikage as she strives to become closer with her childhood crush, Sakuyo's brother Mohiro. Her peaceful life, however, unravels when she finds a yakuza-looking thug trying to enter her house. Forced to invite him inside, Saki learns that her mother used to be a demon fighting Magical Girl, and that her brutish guest is actually a mascot named Kokoro-chan looking to recruit a replacement. Dumbfounded and skeptical, Saki is hesitant accept the request until Kokoro-chan reveals that Mohiro is a target of some cute, squirrel-tailed demons. Rushing to his side, Saki's overwhelming desire to save Mohiro activates her Love Power, and a daring confession awakens her as a Magical Girl. However, because her body is not suitable for combat, Saki's transformation turns her into a muscle-bound man clad in a pretty dress. Now, as a fully-fledged Magical Girl, Saki must team up with Sakuyo to protect the love of her life from the fluffy, demonic menaces that run rampant in her world. [Written by MAL Rewrite]",Mahou Shoujo Ore,Magical Girl Ore,TV
36906,2018-07-10,2018-09-17,23 min ,11,"['Comedy', 'Supernatural']",1719,Summer 2018,3832,PG-13 - Teens 13 or older,6.93,22047,Web manga,Finished Airing,"[{'mal_id': 70, 'name': 'Nomad'}]","The demon Jashin-chan has been summoned to Earth by Yurine Hanazono, a girl with a knack for the occult. Unfortunately, Yurine does not actually know how to send Jashin-chan back to Hell. Now stuck on Earth, she must live at Yurine's apartment as her familiar. The only way for Jashin-chan to return would be to kill her summoner, but this is easier said than done for the incompetent demon. Since Jashin-chan is immortal and can regenerate her body, Yurine does not hold back in attacking her with a range of weapons, punishing her in gruesome manners for her evil schemes. Jashin-chan is also often visited by her demon friends: the kindhearted Gorgon Medusa and the energetic minotaur Minosu, who seem much more well-behaved in contrast, and disapprove of her plans to kill Yurine. Jashin-chan Dropkick is a comedy focusing on these two reluctant roommates and their bizarre antics as they get by with their cat-and-mouse relationship. [Written by MAL Rewrite]",Jashin-chan Dropkick,Dropkick On My Devil!,TV
36927,2018-07-13,,1 hr 45 min,1,"['Action', 'Game', 'Adventure', 'Comedy', 'Kids', 'Fantasy']",3575,,2698,PG - Children,7.21,9373,Game,Finished Airing,"[{'mal_id': 28, 'name': 'OLM'}, {'mal_id': 858, 'name': 'Wit Studio'}]","As Satoshi continues his journey to become a Pokémon Master, he travels to Fura City to attend the annual Wind Festival. Pumped up, Satoshi and Pikachu are determined to win the festival's Get Race. Meanwhile, Kagachi, a show-off and a habitual liar, joins the competition at the request of his niece Lily. Having almost no knowledge about Pokémon, he manages to strike a deal with a socially awkward scientist named Torito in exchange for help with his upcoming speech. Following Kagachi's victory, Satoshi meets Risa, an ex-regional track and field champion looking to catch a Pokémon. However, during Torito's speech, Team Rocket strikes and manages to steal a capsule from his lab. Tragedy strikes one after another as the Wind Festival's Sacred Flame disappears! As they set off on a journey to find the culprit, Satoshi and the group meet many people on the way—including Zeraora, the Thunderclap Pokémon who was believed to be dead... [Written by MAL Rewrite]",Pokemon Movie 21: Minna no Monogatari,Pokémon the Movie: The Power of Us,Movie
